temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,shortwave_radiation_backwards_sfc,angle_of_incidence,zenith,azimuth,power_output
272.93,97,1032.8,0,0,0,60.343597,81.28601,123.69653,65.334722
273.55,94,1033.1,0,0,8.9,46.343532,72.564164,135.19193,128.55614
275.12,88,1032.9,0,0,133.5,32.767024,65.545625,148.43117,213.53037
276.84,78,1032,0,0,302.6,20.715871,60.908964,163.47942,529.23609
278.5,71,1031.2,0,0,427.2,14.717325,59.241358,179.75263,801.21361
280.38,65,1030.5,0,0,501.07,20.395668,60.792939,196.05134,1120.3043
281.16,64,1029.9,0,0,525.99,32.357883,65.330014,211.16246,522.36722
281.3,64,1030.1,0,0,499.29,45.91431,72.272754,224.47579,694.42378
280.88,65,1028.8,0,0,422.75,59.797177,80.864708,235.94993,197.23395
280.13,69,1028.6,0,0,304.38,107.77202,118.11981,215.023,29.081699
271.04,97,1031,0,0,0,60.366723,81.125573,123.48612,600.64111
271.42,91,1030.6,0,0,9.79,46.335747,72.376696,134.99776,1563.6986
275.21,75,1030.4,0,0,147.74,32.713338,65.32969,148.26495,2254.5837
277.64,63,1029.2,0,0,307.94,20.576122,60.666838,163.35977,2634.1726
278.87,51,1028.1,0,0,435.21,14.469131,58.981793,179.69734,2805.2676
279.61,64,1027.4,0,0,515.31,20.185275,60.529128,196.06522,2768.1883
280.85,50,1026.4,0,0,542.9,32.216246,65.073948,211.23459,2471.2245
281.59,49,1025.7,0,0,512.64,45.814478,72.03134,224.58904,1233.002
281.4,53,1025.1,0,0,432.54,59.727037,80.640895,236.09029,279.1891
280.77,58,1025,0,0,313.28,107.86229,117.92459,215.03395,44.6431
276.56,89,1021.2,0,0,0,60.386895,80.959094,123.27422,469.03596
278.04,78,1019.7,0,0,8.01,46.319282,72.180929,134.80919,1433.8985
279.16,71,1019,0,0,67.64,32.656581,65.10769,148.09878,1932.6989
280.23,57,1018,0,0,135.28,20.432759,60.418821,163.24165,1754.4959
281.54,47,1016.6,0,0,358.67,14.216229,58.716822,179.64539,612.54616
282.93,41,1014.7,0,0,497.51,19.974663,60.260732,196.08408,115.7372
283.97,54,1013.4,0,0,523.32,32.0769,64.814288,211.31266,209.28936
284.63,58,1012,0,0,435.21,45.717632,71.787259,224.70855,178.17393
284.55,67,1011,0,0,424.53,59.660096,80.415065,236.23686,240.54478
283.58,75,1010.4,0,0,292.81,121.4087,128.41537,247.49936,3.9839181
279.38,87,1003.4,0,0,0,60.40414,80.786641,123.0609,212.73694
279.65,85,1003,0,0,11.57,46.311223,71.983628,134.60677,928.17262
280.42,80,1002.8,0,0,131.72,32.596869,64.879712,147.93271,814.1026
281.21,77,1002.1,0,0,251.87,20.285948,60.165007,163.12509,1170.5806
281.93,74,1001.3,0,0,390.71,13.958742,58.446545,179.59682,751.5643
283.56,81,1001.9,0.1,0,480.6,19.764091,59.98786,196.10794,258.036
284.3,78,1000.9,0.1,0,527.77,32.048902,64.596977,211.5193,77.371552
284.8,77,1000.3,0.2,0,503.74,45.735938,71.602733,224.93703,151.54448
284.57,81,999.2,0,0,407.62,59.706246,80.258856,236.4755,3.274586
283.98,82,998.3,0,0,289.25,108.04516,117.52077,215.06522,5.625
275.27,90,997.5,0.8,0.63,0,60.418493,80.608283,122.84624,365.87528
274.43,91,998.5,0.3,0.21,9.79,46.294625,71.778193,134.41003,1020.2754
274.27,90,1000.9,0,0.28,78.32,32.534323,64.64585,147.76675,2046.7212
274.17,87,1001.9,0,0.21,124.6,20.135863,59.905494,163.01011,1770.4435
274.22,84,1002.3,0,0.07,161.98,13.6968,58.171065,179.55167,1479.5331
275.01,74,1002.7,0,0.07,194.91,19.553826,59.71062,196.13685,1197.0767
275.5,74,1003.7,0.1,0.14,215.38,31.80585,64.284634,211.48668,1779.7003
275.05,72,1004.8,0.2,0.14,240.3,45.533375,71.291532,224.96626,2084.9414
274.98,70,1004.8,0.2,0.14,207.37,59.507561,79.939434,236.5258,366.52784
274.46,69,1005.6,0.1,0.07,130.83,121.63592,127.97644,247.69716,37.264069
269.57,93,1016.7,0,0,0,60.429995,80.424097,122.63029,612.4965
269.71,92,1016.8,0,0,13.35,46.275239,71.566938,134.21253,1516.1773
271.11,89,1017.6,0,0,155.75,32.469073,64.406196,147.60095,2128.6253
272.53,81,1017,0,0,313.28,19.982686,59.640378,162.89674,2607.9262
273.3,78,1016.6,0,0,302.6,13.430535,57.890485,179.50996,2741.3694
274.77,61,1017.6,0,0,234.07,19.317454,59.422163,196.12655,1843.9107
276.44,51,1016.7,0,0,527.77,31.674525,64.014859,211.58263,1555.8217
276.58,53,1016.4,0,0,501.96,45.432519,71.033324,225.09076,1418.3475
275.97,58,1016.6,0,0,223.39,59.479207,79.726485,236.71346,325.89532
273.18,86,1014.9,0.3,0,0,60.438692,80.234163,122.4131,109.07939
273.13,86,1013.9,0.3,0,9.79,46.253147,71.349955,134.0143,232.56139
274.59,79,1013.6,0.3,0,73.87,32.40125,64.160846,147.43533,696.74
275.53,72,1012.4,0.1,0,195.8,19.826606,59.36976,162.785,424.49561
275.89,73,1010.6,0,0,312.39,13.160088,57.604906,179.47171,162.37921
276.03,82,1008.8,0.3,0.14,187.79,19.135323,59.143466,196.20988,1199.4147
277.67,75,1007,0.4,0,236.74,31.479666,63.712438,211.6126,344.17139
276.66,81,1006.8,0.2,0,227.84,45.362445,70.786411,225.24875,662.075
277.97,77,1005.3,0.3,0,236.74,59.532164,79.563047,236.96753,136.57458
278.48,76,1004.8,0,0,317.73,108.32456,116.88234,215.13356,38.921569
272.48,93,1007.9,0.1,0.21,0,60.444631,80.038564,122.19472,214.66867
272.37,93,1008.1,0,0.21,10.68,46.228438,71.127335,133.81536,435.98026
272.93,87,1008.3,0,0.28,110.36,32.330991,63.909899,147.26989,540.26354
273.69,82,1008.1,0,0.07,278.57,19.667821,59.093739,162.6749,609.03444
274.56,81,1007.8,0,0,423.64,12.885606,57.314435,179.43696,1231.1073
276.26,83,1004.3,0.1,0.14,298.15,18.92766,58.853769,196.25404,1338.748
276.94,80,1003.3,0,0.07,231.4,31.421212,63.465959,211.79247,1533.5819
277.23,80,1003,0,0,270.56,45.282242,70.530584,225.39924,274.12224
276.65,82,1001.6,0,0.14,205.59,59.375875,79.259153,237.06142,209.04958
268.82,92,1010.1,0,0,167.32,32.258436,63.653454,147.10466,61.186944
270.28,87,1009.8,0,0,239.41,19.506537,58.812419,162.56645,37.113781
270.87,83,1009.6,0.1,0,217.16,12.60724,57.019174,179.4057,44.916886
271.61,70,1010.7,0.1,0,241.19,18.721458,58.560135,196.30333,63.474352
272.4,65,1011.2,0.1,0,374.69,30.544968,62.841885,211.10917,11.048742
271.87,66,1011.8,0,0,440.55,45.161802,70.236172,225.53255,3.5764493
269.76,93,1020.5,0,0.21,140.62,32.183729,63.391612,146.93965,0.009444444
271.15,83,1020,0,0,257.21,12.325154,56.719231,179.37797,199.56072
272,72,1020.7,0,0,226.95,18.517028,58.262676,196.35775,621.0319
272.68,63,1020.4,0,0,271.45,31.181577,62.905312,212.02621,1270.4655
273.59,54,1020.1,0,0,260.77,45.132854,70.012901,225.71852,378.96399
273.5,55,1019.2,0,0,232.29,59.406217,78.86659,237.52286,155.8639
273.51,55,1018.9,0,0,186.01,71.2682,86.993045,246.27917,16.274753
269.13,92,1017.4,0.1,0.28,0,60.56588,79.500057,121.44417,60.412381
269.33,92,1018.1,0.1,0.21,13.35,46.139505,70.426622,133.21466,213.16447
270.06,91,1018.8,0.1,0.21,105.02,32.107017,63.124478,146.77487,411.75982
270.49,77,1018.7,0,0.07,187.79,19.17733,58.234292,162.35456,946.81661
271.51,62,1018.1,0,0,351.55,12.039518,56.414712,179.35378,770.66778
268.62,93,1021,0.4,0.21,0,60.561577,79.28291,121.22141,0.22459016
269.31,92,1021.3,0.3,0.28,18.69,46.087246,70.172966,133.03046,65.507917
269.68,87,1021.4,0.2,0.14,149.52,32.028452,62.852156,146.61033,69.335871
270.54,75,1021.7,0.1,0,283.02,19.009858,57.937698,162.25112,179.29113
271.38,70,1022,0,0,362.23,11.750513,56.105725,179.33314,509.22694
273.05,64,1020.2,0,0,453.01,18.114796,57.656717,196.48209,426.59295
273.56,60,1019.8,0,0,445.89,30.957074,62.333789,212.2838,411.4492
274.04,57,1020.5,0,0,432.54,44.99878,69.487848,226.06199,267.54383
